,elec_demand,wind_onshore,solar_pv,solar_thermal,hydro,DemandCommercial,DemandDirect,gas_pipeline_norm,gas_truck_norm
2018-01-01 00:00:00,0.5703819290286763,0.7724236521686911,0.0019323220550631532,0.0011090357765699557,0.0,0.6761595776786137,0.4702906492644291,0.5346206873082019,0.19092969082596467
2018-01-01 01:00:00,0.5703819290286763,0.7724236521686911,0.0019323220550631532,0.0011090357765699557,0.0,0.6761595776786137,0.4702906492644291,0.5346206873082019,0.19092969082596467
2018-01-01 02:00:00,0.5340708353772914,0.7487600578805927,0.0019323220550631532,0.0011090357765699557,0.0,0.5864514430444174,0.46862163670789125,0.5346206873082019,0.19092969082596467
2018-01-01 03:00:00,0.5056527104914484,0.5604521806756044,0.0019323220550631532,0.0011090357765699557,0.0,0.5063704411863809,0.4673235158305841,0.5346206873082019,0.19092969082596467
2018-01-01 04:00:00,0.48766258516683014,0.5330190492583939,0.0019323220550631532,0.0011090357765699557,0.0,0.4525589546775517,0.4673235158305841,0.5346206873082019,0.19092969082596467
2018-01-01 05:00:00,0.4820210674808441,0.49252902113017294,0.0019323220550631532,0.0011090357765699557,0.0,0.43258474702197197,0.4671380699909688,0.5346206873082019,0.19092969082596467
2018-01-01 06:00:00,0.48553573729587574,0.4855033838257416,0.0019323220550631532,0.0011090357765699557,0.0,0.423392928075691,0.46973431174558317,0.5346206873082019,0.19092969082596467
2018-01-01 07:00:00,0.49588210027215496,0.4884800183173508,0.0020215061499122217,0.0011090357765699557,0.0,0.42300784276464465,0.4712178784625056,0.5346206873082019,0.19092969082596467
2018-01-01 08:00:00,0.4914995046592792,0.5204170966836554,0.02051234181528578,0.0011090357765699557,0.0,0.4314294910888329,0.4680652991890454,0.5346206873082019,0.19092969082596467
2018-01-01 09:00:00,0.501721264426957,0.5140153827661117,0.19944536411413377,0.0018946027849736742,0.0,0.4923566844322147,0.46917797422673724,0.5346206873082019,0.19092969082596467
2018-01-01 10:00:00,0.538977623798766,0.5230947678857144,0.43168074710110843,0.021672407467137885,0.0,0.5993266867050552,0.4673235158305841,0.5346206873082019,0.19092969082596467
2018-01-01 11:00:00,0.5756582304135894,0.5573715589528473,0.5975928915519925,0.131189690403421,0.0,0.6931033313646544,0.46880708254750664,0.5346206873082019,0.19092969082596467
2018-01-01 12:00:00,0.5924925535618708,0.6862637319606933,0.6757181586397765,0.23469969621661688,0.0,0.7269406102179039,0.4712178784625056,0.5346206873082019,0.19092969082596467
2018-01-01 13:00:00,0.6082312278069333,0.7594447458810415,0.6814853967733496,0.2810481497124363,0.0,0.7628707440224922,0.4699197575851985,0.5346206873082019,0.19092969082596467
2018-01-01 14:00:00,0.6181908911703116,0.8159423084040953,0.6304720945196824,0.31986440189238474,0.0,0.751653041483315,0.47325778269827407,0.5346206873082019,0.19092969082596467
2018-01-01 15:00:00,0.5854503239447107,0.8323982877332536,0.5013929812414637,0.3995763483333503,0.0,0.6652265034128185,0.4754831327736578,0.5346206873082019,0.19092969082596467
2018-01-01 16:00:00,0.5711510315921123,0.8405482869744718,0.2964776593099204,0.43779187280099,0.0,0.6366464761973327,0.4756685786132731,0.5346206873082019,0.19092969082596467
2018-01-01 17:00:00,0.5791900868780834,0.9095308164372227,0.07542001621069569,0.28585397141090607,0.0,0.6546617716184591,0.4754831327736578,0.5346206873082019,0.19092969082596467
2018-01-01 18:00:00,0.6440181286497193,0.9623238338506319,0.002616066782239346,0.09833450552253607,0.0,0.7325662043271031,0.4497061610671296,0.5346206873082019,0.19092969082596467
2018-01-01 19:00:00,0.6806342853290593,0.9567995121958986,0.015309936282423445,0.03766100657935475,0.0,0.7755450736078016,0.4385794106902109,0.5346206873082019,0.19092969082596467
2018-01-01 20:00:00,0.7022379037031172,0.9372109175284095,0.015280208250807089,0.019592965386069215,0.0,0.831834500379016,0.44154654412405586,0.5346206873082019,0.19092969082596467
2018-01-01 21:00:00,0.7106679552643546,0.9323300168664039,0.007223911682774558,0.019592965386069215,0.0,0.8737753136038502,0.44748081099174586,0.5346206873082019,0.19092969082596467
2018-01-01 22:00:00,0.6983966875483026,0.911864029936104,0.0019323220550631532,0.019592965386069215,0.0,0.8843065597189881,0.45972023640635634,0.5346206873082019,0.19092969082596467
2018-01-01 23:00:00,0.6459000667658364,0.8983911843005019,0.0019323220550631532,0.012661491782506994,0.0,0.7711249639505734,0.4636145990382779,0.5346206873082019,0.19092969082596467
2018-01-02 00:00:00,0.5892013101898484,0.8877909859253608,0.0019323220550631532,0.009241964804749632,0.0,0.6428078411740749,0.5756238861659257,0.7055072542636384,0.7941729047328759
2018-01-02 01:00:00,0.5403826323923056,0.8398593715681167,0.0019323220550631532,0.009241964804749632,0.0,0.5147586038313476,0.5083070463855679,0.7055072542636384,0.7941729047328759
2018-01-02 02:00:00,0.5097860996871214,0.8103659931337882,0.0019323220550631532,0.009241964804749632,0.0,0.44192725152474943,0.5103469506213363,0.7055072542636384,0.7941729047328759
